iter	Passed	Remaining
600	9619	6386
601	9635	6370
602	9650	6353
603	9663	6335
604	9679	6319
605	9695	6303
606	9711	6287
607	9726	6271
608	9742	6255
609	9758	6238
610	9774	6222
611	9790	6206
612	9805	6190
613	9820	6174
614	9837	6158
615	9854	6142
616	9873	6128
617	9894	6115
618	9913	6101
619	9930	6086
620	9946	6070
621	9963	6054
622	9979	6039
623	9995	6023
624	10014	6008
625	10032	5993
626	10049	5978
627	10064	5961
628	10080	5945
629	10096	5929
630	10112	5913
631	10128	5897
632	10144	5881
633	10160	5865
634	10175	5849
635	10191	5832
636	10206	5816
637	10222	5800
638	10239	5784
639	10257	5769
640	10273	5753
641	10287	5736
642	10302	5719
643	10317	5703
644	10333	5687
645	10349	5671
646	10364	5654
647	10380	5638
648	10395	5622
649	10411	5606
650	10429	5591
651	10445	5575
652	10461	5559
653	10476	5542
654	10492	5526
655	10509	5510
656	10528	5496
657	10543	5480
658	10559	5463
659	10574	5447
660	10590	5431
661	10606	5415
662	10622	5399
663	10638	5383
664	10654	5367
665	10669	5350
666	10685	5334
667	10702	5319
668	10717	5302
669	10733	5286
670	10749	5270
671	10764	5254
672	10780	5237
673	10795	5221
674	10811	5205
675	10827	5189
676	10842	5172
677	10858	5157
678	10873	5140
679	10888	5124
680	10903	5107
681	10918	5091
682	10934	5075
683	10949	5058
684	10965	5042
685	10979	5025
686	10995	5009
687	11010	4993
688	11025	4976
689	11041	4960
690	11056	4944
691	11071	4927
692	11086	4911
693	11102	4895
694	11118	4879
695	11134	4863
696	11148	4846
697	11164	4830
698	11177	4813
699	11193	4797
700	11208	4781
701	11225	4765
702	11241	4749
703	11261	4735
704	11278	4719
705	11294	4703
706	11309	4687
707	11325	4671
708	11341	4655
709	11355	4638
710	11371	4622
711	11387	4606
712	11403	4590
713	11418	4573
714	11434	4557
715	11450	4541
716	11466	4525
717	11481	4509
718	11497	4493
719	11512	4477
720	11527	4460
721	11542	4444
722	11558	4428
723	11574	4412
724	11588	4395
725	11603	4379
726	11619	4363
727	11634	4346
728	11648	4330
729	11664	4314
730	11678	4297
731	11694	4281
732	11711	4265
733	11726	4249
734	11741	4233
735	11757	4217
736	11773	4201
737	11790	4185
738	11806	4169
739	11822	4153
740	11837	4137
741	11853	4121
742	11868	4105
743	11883	4089
744	11899	4072
745	11915	4056
746	11930	4040
747	11945	4024
748	11961	4008
749	11977	3992
750	11992	3976
751	12007	3959
752	12023	3943
753	12039	3927
754	12054	3911
755	12070	3895
756	12086	3879
757	12102	3863
758	12119	3848
759	12135	3832
760	12151	3816
761	12167	3800
762	12182	3784
763	12197	3767
764	12212	3751
765	12226	3735
766	12242	3718
767	12259	3703
768	12275	3687
769	12290	3671
770	12306	3655
771	12322	3639
772	12337	3623
773	12350	3606
774	12366	3590
775	12380	3573
776	12396	3557
777	12411	3541
778	12427	3525
779	12443	3509
780	12458	3493
781	12473	3477
782	12489	3461
783	12503	3444
784	12518	3428
785	12532	3412
786	12546	3395
787	12561	3379
788	12576	3363
789	12591	3347
790	12607	3331
791	12622	3315
792	12637	3298
793	12653	3282
794	12669	3266
795	12684	3250
796	12700	3234
797	12715	3218
798	12731	3202
799	12746	3186
800	12761	3170
801	12777	3154
802	12793	3138
803	12809	3122
804	12825	3106
805	12841	3090
806	12857	3074
807	12872	3058
808	12887	3042
809	12902	3026
810	12917	3010
811	12932	2994
812	12948	2978
813	12963	2962
814	12978	2945
815	12994	2930
816	13007	2913
817	13023	2897
818	13039	2881
819	13054	2865
820	13069	2849
821	13085	2833
822	13100	2817
823	13115	2801
824	13130	2785
825	13146	2769
826	13159	2752
827	13175	2736
828	13189	2720
829	13205	2704
830	13219	2688
831	13234	2672
832	13250	2656
833	13265	2640
834	13281	2624
835	13300	2609
836	13318	2593
837	13334	2577
838	13350	2561
839	13364	2545
840	13379	2529
841	13394	2513
842	13409	2497
843	13424	2481
844	13441	2465
845	13456	2449
846	13471	2433
847	13487	2417
848	13502	2401
849	13518	2385
850	13533	2369
851	13549	2353
852	13564	2337
853	13580	2321
854	13595	2305
855	13610	2289
856	13627	2273
857	13643	2258
858	13659	2242
859	13675	2226
860	13692	2210
861	13708	2194
862	13723	2178
863	13740	2162
864	13756	2146
865	13771	2130
866	13786	2114
867	13801	2098
868	13816	2082
869	13831	2066
870	13848	2051
871	13863	2035
872	13879	2019
873	13893	2003
874	13910	1987
875	13925	1971
876	13940	1955
877	13956	1939
878	13971	1923
879	13987	1907
880	14002	1891
881	14017	1875
882	14032	1859
883	14048	1843
884	14065	1827
885	14081	1811
886	14098	1796
887	14113	1780
888	14129	1764
889	14145	1748
890	14161	1732
891	14176	1716
892	14193	1700
893	14208	1684
894	14223	1668
895	14239	1652
896	14255	1636
897	14271	1620
898	14287	1605
899	14303	1589
900	14319	1573
901	14334	1557
902	14350	1541
903	14366	1525
904	14382	1509
905	14398	1493
906	14417	1478
907	14434	1462
908	14450	1446
909	14465	1430
910	14480	1414
911	14496	1398
912	14509	1382
913	14527	1366
914	14545	1351
915	14562	1335
916	14580	1319
917	14600	1304
918	14620	1288
919	14636	1272
920	14652	1256
921	14667	1240
922	14682	1224
923	14698	1208
924	14714	1193
925	14728	1176
926	14744	1161
927	14759	1145
928	14775	1129
929	14790	1113
930	14806	1097
931	14821	1081
932	14838	1065
933	14853	1049
934	14869	1033
935	14884	1017
936	14899	1001
937	14915	985
938	14931	970
939	14947	954
940	14962	938
941	14980	922
942	14999	906
943	15012	890
944	15028	874
945	15044	858
946	15059	842
947	15075	826
948	15090	810
949	15105	795
950	15121	779
951	15136	763
952	15153	747
953	15168	731
954	15183	715
955	15198	699
956	15214	683
957	15230	667
958	15247	651
959	15263	635
960	15278	620
961	15294	604
962	15310	588
963	15326	572
964	15341	556
965	15356	540
966	15372	524
967	15388	508
968	15404	492
969	15420	476
970	15436	461
971	15452	445
